dates,adj_open,adj_close,volume,price_m_ave_50,price_m_ave_100,volume_m_ave_50,relative_change,positive_sentiment,negative_sentiment,uncertainty_sentiment,news_volume
2016-04-22,102.00140887,102.652213022,33683121.0,100.871923695,100.78338343,43132335.46,-0.00273662357268,0,0,0,0
2016-04-25,101.991695376,102.069403334,28031588.0,101.093002837,100.661123576,43020848.12,-0.00567751703255,0,0,0,0
2016-04-26,100.932924443,101.360318214,56016165.0,101.294266449,100.541047897,43232486.03,-0.006947087933,0,0,0,0
2016-04-27,93.2495500577,95.0174061108,114602142.0,101.317190297,100.367784274,44044641.82,-0.0625778629612,0,0,0,0
2016-04-28,94.8134227201,92.1130711663,82242690.0,101.253275501,100.175911707,44451373.63,-0.0305663463504,0,0,0,0
2016-04-29,91.2971376033,91.0543002334,68531478.0,101.204319487,99.9364479361,44558918.64,-0.0114942528736,0,0,0,0
2016-05-02,91.2728538663,90.9571652854,48160104.0,101.157694712,99.7032589309,44719677.19,-0.00106678045658,0,0,0,0
2016-05-03,91.5011209941,92.4530434843,56831277.0,101.12466883,99.4855117821,44944895.46,0.0164459632636,0,0,0,0
2016-05-04,92.4724704738,91.4914074993,41025475.0,101.114955335,99.2833647539,44891536.64,-0.0104013448203,0,0,0,0
2016-05-05,91.8650332638,91.122294697,35890500.0,101.070467529,99.07221278,44958314.37,-0.00403439855611,0,0,0,0
2016-05-06,91.2493420834,90.6141051513,43699886.0,101.002994119,98.8848667561,44926451.62,-0.005577005577,0,0,0,0
2016-05-09,90.8877456759,90.6825152824,32936436.0,100.933974863,98.7049678744,44605779.89,0.000754961173427,0,0,0,0
2016-05-10,91.2102505799,91.2982064628,33686836.0,100.881543368,98.5504522631,44409417.2,0.00678952473327,0,0,0,0
2016-05-11,91.3568437181,90.4088747578,28719109.0,100.736725599,98.378831071,44134223.62,-0.00974095482767,0,0,0,0
2016-05-12,90.6141051513,88.288160692,76314690.0,100.545219611,98.2088038471,44449642.25,-0.0234569235758,0,0,0,0
2016-05-13,87.9558829121,88.4640724578,44392765.0,100.342661616,98.0690371269,43929036.63,0.00199247288023,0,0,0,0
2016-05-16,90.2916002472,91.7477587532,61259756.0,100.176442593,97.9495473368,44065728.09,0.0371188687583,0,0,0,0
2016-05-17,92.4025414371,91.3666165939,46916939.0,100.024747495,97.8272122738,44207003.81,-0.00415423945462,0,0,0,0
2016-05-18,92.0213992778,92.412314313,42062391.0,99.9102850225,97.7020013362,44301054.18,0.0114450743395,0,0,0,0
2016-05-19,92.49049732,92.0604907814,30442100.0,99.7870376503,97.5788758256,44469508.38,-0.00380710659899,0,0,0,0
2016-05-20,92.49049732,93.057324121,32025968.0,99.6827555954,97.4774090475,44522725.96,0.0108280254777,0,0,0,0
2016-05-23,93.6925610532,94.2398421024,38018643.0,99.5809484814,97.3692173945,44593599.96,0.0127074144087,0,0,0,0
2016-05-24,95.0118992969,95.6764548566,35140174.0,99.5028226052,97.2891111803,44692863.93,0.0152442186042,0,0,0,0
2016-05-25,96.4289662993,97.3573895079,38642108.0,99.4182958235,97.2457169754,44670161.85,0.017568947906,0,0,0,0
2016-05-26,97.4160267631,98.1294467023,56331159.0,99.3222066701,97.2091738087,44556979.57,0.00793013451114,0,0,0,0
2016-05-27,97.181477742,98.070809447,36341240.0,99.2282473599,97.1975505945,44362482.05,-0.000597550044819,0,0,0,0
2016-05-31,97.3378437561,97.591938529,42307212.0,99.1223793925,97.2005582596,44100980.29,-0.00488290981564,0,0,0,0
2016-06-01,96.7710169551,96.2237359059,29173285.0,98.9893416426,97.2309452174,43581768.86,-0.0140196274785,0,0,0,0
2016-06-02,95.3832685803,95.5005430908,40191600.0,98.8261041748,97.2491728887,43275704.7,-0.00751574243347,0,0,0,0
2016-06-03,95.568953222,95.6960006084,28504888.0,98.6782377812,97.254186601,43063359.81,0.00204666393778,0,0,0,0
2016-06-06,95.7644107396,96.3898747958,23292504.0,98.5531852866,97.252323129,42804742.58,0.00725081699346,0,0,0,0
2016-06-07,96.9957931003,96.780789831,22409450.0,98.4452760476,97.2791988284,42404440.77,0.00405556118828,0,0,0,0
2016-06-08,96.7710169551,96.6928339481,20848131.0,98.287234487,97.2846160021,41981220.81,-0.00090881551045,0,0,0,0
2016-06-09,96.2628274094,97.3867081355,26601354.0,98.1065476696,97.3200628711,41448895.44,0.00717606630281,0,0,0,0
2016-06-10,96.292146037,96.5853323134,31712936.0,97.9209067199,97.3520368807,41235147.33,-0.00822880080281,0,0,0,0
2016-06-13,96.4485120511,95.1291738074,38020494.0,97.6867156104,97.368193312,40892008.11,-0.0150763938076,0,0,0,0
2016-06-14,95.1096280557,95.246448318,31931944.0,97.432917493,97.3902566169,40689712.92,0.0012327922745,0,0,0,0
2016-06-15,95.5982718496,94.9337162898,29445227.0,97.1983140913,97.3597257891,40326160.52,-0.00328339831726,0,0,0,0
2016-06-16,94.2593878542,95.3344042009,31326815.0,96.9493834098,97.3523315843,40121483.42,0.0042207123739,0,0,0,0
2016-06-17,94.4255267441,93.1648257557,61008219.0,96.7040744743,97.3179277773,39980795.59,-0.0227575602255,0,0,0,0
2016-06-20,93.8196084396,92.9400496105,34411901.0,96.451938777,97.3447521771,38991217.86,-0.00241267177174,0,0,0,0
